-497.010,-102.100,677.000,0.00,-0.00,-90.00,20,1.500
-495.569,108.879,677.000,0.00,-0.00,-114.00,20,1.500
-507.332,-7.604,677.000,0.00,-0.00,-100.75,20,1.500
-492.083,-123.682,677.000,0.00,-0.00,-87.50,20,1.500
-450.636,-233.175,677.000,0.00,-0.00,-74.25,20,1.500
-385.196,-330.254,677.000,0.00,-0.00,-61.00,20,1.500
-143.281,-102.100,860.600,-32.00,0.00,-90.00,20,1.500
-304.741,-102.100,807.573,-18.50,0.00,-90.00,20,1.500
-449.362,-102.100,718.320,-5.00,0.00,-90.00,20,1.500
-569.151,-102.100,597.771,8.50,-0.00,-90.00,20,1.500
-657.488,-102.100,452.588,22.00,-0.00,-90.00,20,1.500
480.558,-102.100,415.497,172.80,-0.00,-90.00,20,1.500
438.944,-102.100,830.667,-138.60,-0.00,-90.00,20,1.500
100.000,-102.100,1074.010,-90.00,0.00,-90.00,20,1.500
-306.682,-102.100,980.690,-41.40,0.00,-90.00,20,1.500
-505.624,-102.100,613.920,7.20,-0.00,-90.00,20,1.500
-272.018,-102.100,649.643,-105.00,-0.00,-90.00,20,1.500
-377.768,-102.100,718.798,-52.50,0.00,-90.00,20,1.500
-497.010,-102.100,677.000,0.00,-0.00,-90.00,20,1.500
-536.439,-102.100,556.954,52.50,-0.00,-90.00,20,1.500
-465.203,-102.100,452.594,105.00,-0.00,-90.00,20,1.500
-497.010,-76.218,480.407,180.00,-15.00,90.00,20,1.500
-497.010,-162.976,497.665,180.00,37.50,90.00,20,1.500
-497.010,-202.100,577.000,0.00,90.00,-90.00,20,1.500
-497.010,-162.976,656.335,0.00,37.50,-90.00,20,1.500
-497.010,-76.218,673.593,0.00,-15.00,-90.00,20,1.500
-497.010,-102.100,677.000,-0.00,0.00,165.00,20,1.500
-497.010,-102.100,677.000,0.00,0.00,-142.50,20,1.500
-497.010,-102.100,677.000,0.00,-0.00,-90.00,20,1.500
-497.010,-102.100,677.000,0.00,-0.00,-37.50,20,1.500
-497.010,-102.100,677.000,-0.00,-0.00,15.00,20,1.500
-497.010,-102.100,677.000,0.00,-0.00,-90.00,20,0.000
